Year,Month,Time,Water Storage,Soil Erosion,Water Quality,GW Recharge,Flor Quality,Biomass,CarbonSeq,GHG,Amphibians,Waterfowl,Shorebirds,Pollinators
1990,1,1990.083333,0.868661418,0.312175273,0.181032726,0.600859614,0.413280275,0.538459448,0.596419397,0.487251843,0.071392505,0.518232903,0.492903238,0.644582932
1991,2,1991.166667,0.761183871,0.292128818,0.192760915,0.641413506,0.414669479,0.533458607,0.570905697,0.474978416,0.48701835,0.778397273,0.545455739,0.647563746
1992,3,1992.25,0.818119923,0.300488501,0.184834407,0.612496153,0.372668154,0.53520399,0.544769738,0.462092377,0.222726089,0.750556968,0.539710108,0.654659506
1993,4,1993.333333,0.743960621,0.320070796,0.205387372,0.636129817,0.37718187,0.541277518,0.50748279,0.448139573,0.408489423,0.567903803,0.384683798,0.680645582
1994,5,1994.416667,0.80877271,0.310146316,0.194230349,0.614544991,0.376502052,0.498683687,0.495610692,0.460189762,0.195542064,0.460227615,0.355739919,0.607081264
1995,6,1995.5,0.792697711,0.362142583,0.193515759,0.652726724,0.372600174,0.49286032,0.539897688,0.46941863,0.228173407,0.15798292,0.721686628,0.642247744
1996,7,1996.583333,0.878244175,0.351499148,0.218355927,0.59843528,0.401558258,0.499749018,0.45875087,0.455319032,0.476511423,0.829672767,0.417770139,0.670870695
1997,8,1997.666667,0.772580424,0.326686099,0.216251416,0.63054778,0.368254107,0.459455767,0.435248935,0.482461785,0.219345303,0.535948486,0.230095972,0.65167627
1998,9,1998.75,0.799675036,0.37540545,0.216742874,0.629290032,0.358939147,0.501958305,0.4958317,0.451520313,0.458996385,0.040741892,0.523359083,0.641262072
1999,10,1999.833333,0.829556901,0.346654879,0.203111626,0.567497536,0.383998413,0.463563867,0.470776942,0.455602404,0.186402932,0.635656128,0.46765976,0.657429369
2000,11,2000.916667,0.711125851,0.355704211,0.222412013,0.591068523,0.367582684,0.472284266,0.444989971,0.464794496,0.22744672,0.372399653,0.380512874,0.677483524
2001,12,2002,0.832939806,0.375258977,0.239911791,0.631334282,0.367861584,0.456271382,0.428643475,0.427350245,0.402324001,0.29957782,0.631530858,0.653658646
