ID,LON,LAT,DEPTH,YEAR
1,100.104,38.094,13.5,1970
2,100.112,38.096,14.4,1970
3,100.121,38.092,12.6,1970
4,100.177,27.096,22.5,1968
5,100.177,27.149,36.9,1968
6,100.179,27.089,23.4,1968
7,100.187,27.133,30.6,1968
8,100.187,27.17,47.7,1968
9,100.188,27.2,36,1968
10,100.189,27.186,33.3,1968
11,100.189,27.088,11.7,1968
12,100.19,27.117,7.2,1968
13,100.19,27.098,27.9,1968
14,100.191,27.132,19.8,1968
15,100.191,27.16,40.5,1968
16,100.192,27.106,9.9,1968
17,100.195,27.108,27,1968
18,100.2,27.132,21.6,1968
19,100.201,27.081,34.2,1968
20,100.205,27.121,44.1,1968
21,100.205,27.127,15.3,1968
22,100.208,31.49,55.8,1971
23,100.208,31.473,42.3,1971
24,100.208,38.385,15.3,1970
25,100.209,27.113,33.3,1968
26,100.218,38.384,13.5,1970
27,100.228,31.469,46.8,1971
28,100.231,38.383,14.4,1970
29,100.233,38.387,18.9,1970
30,100.236,38.115,9,1970
31,100.236,31.484,61.2,1971
32,100.24,38.407,9,1970
33,100.244,38.382,26.1,1970
34,100.245,38.372,12.6,1970
35,100.259,38.373,27.9,1970
36,100.264,31.471,54.9,1971
37,100.277,38.298,13.5,1970
38,100.279,38.304,12.6,1970
39,100.294,38.288,19.8,1970
40,100.298,38.299,15.3,1970
41,100.304,38.298,20.7,1970
42,100.306,38.379,12.6,1970
43,100.306,38.339,18,1970
44,100.313,38.333,18.9,1970
45,100.315,38.294,17.1,1970
46,100.317,38.301,26.1,1970
47,100.318,38.37,12.6,1970
48,100.32,38.299,11.7,1970
49,100.321,38.318,15.3,1970
50,100.322,38.293,21.6,1970
51,100.323,38.348,8.1,1970
52,100.323,38.333,19.8,1970
53,100.327,38.367,31.5,1970
54,100.328,38.328,29.7,1970
55,100.329,38.315,21.6,1970
56,100.336,38.328,18.9,1970
57,100.336,38.319,13.5,1970
58,100.336,38.292,21.6,1970
59,100.348,38.313,20.7,1970
60,100.352,38.313,16.2,1970
61,100.355,28.409,13.5,1971
62,100.356,28.418,45.9,1971
63,100.36,28.366,13.5,1971
64,100.36,38.39,14.4,1970
65,100.362,28.41,18.9,1971
66,100.363,38.393,19.8,1970
67,100.364,38.389,11.7,1970
68,100.365,28.371,32.4,1971
69,100.365,28.377,35.1,1971
70,100.371,28.414,17.1,1971
71,100.375,38.292,19.8,1970
72,100.377,27.364,31.5,1971
73,100.378,38.301,11.7,1970
74,100.379,39.309,21.6,1970
75,100.383,28.378,50.4,1971
76,100.385,38.301,17.1,1970
77,100.387,38.311,10.8,1970
78,100.394,38.297,22.5,1970
79,100.403,38.3,13.5,1970
80,100.404,38.293,21.6,1970
81,100.409,38.306,26.1,1970
82,100.415,38.324,19.8,1970
83,100.417,38.273,13.5,1970
84,100.418,38.302,18.9,1970
85,100.419,38.253,16.2,1970
86,100.42,31.435,14.4,1971
87,100.421,38.311,20.7,1970
88,100.421,38.246,14.4,1970
89,100.425,38.272,13.5,1970
90,100.426,28.401,37.8,1971
91,100.429,38.246,10.8,1970
92,100.431,38.305,33.3,1970
93,100.432,31.432,29.7,1971
94,100.432,38.268,11.7,1970
95,100.432,38.256,28.8,1970
96,100.433,38.295,18,1970
97,100.438,38.273,32.4,1970
98,100.444,38.264,17.1,1970
99,100.452,38.268,22.5,1970
100,100.455,38.261,19.8,1970
101,100.457,38.268,21.6,1970
102,100.462,38.26,12.6,1970
103,100.463,38.258,9,1970
104,100.465,38.27,13.5,1970
105,100.468,38.277,13.5,1970
106,100.47,38.261,16.2,1970
107,100.48,38.296,16.2,1970
108,100.487,38.281,18,1970
109,100.493,38.281,15.3,1970
110,100.497,38.274,18,1970
111,100.502,38.281,23.4,1970
112,100.51,38.28,21.6,1970
113,100.513,38.31,9.9,1970
114,100.52,38.296,12.6,1970
115,100.522,38.277,20.7,1970
116,100.526,38.306,13.5,1970
117,100.529,38.255,15.3,1970
118,100.537,38.261,20.7,1970
119,100.537,38.255,7.2,1970
120,100.54,38.249,18,1970
121,100.546,38.265,17.1,1970
122,100.547,38.253,20.7,1970
123,100.55,38.264,13.5,1970
124,100.57,38.25,9,1970
125,100.573,38.247,12.6,1970
126,100.574,38.255,13.5,1970
127,100.581,38.25,18.9,1970
128,100.582,38.244,25.2,1970
129,100.587,38.243,9,1970
130,100.59,38.24,29.7,1970
131,100.599,38.24,21.6,1970
132,100.599,38.251,27.9,1970
133,100.602,38.247,21.6,1970
134,100.602,38.27,15.3,1970
135,100.605,38.245,9,1970
136,100.608,38.266,13.5,1970
137,100.617,38.27,24.3,1970
138,100.621,38.238,21.6,1970
139,100.628,38.271,21.6,1970
140,100.633,38.269,21.6,1970
141,100.642,38.289,11.7,1973
142,100.651,38.262,17.1,1970
143,100.661,38.259,10.8,1970
144,100.101,27.339,14.4,1968
145,100.121,27.342,32.4,1968
146,100.128,27.343,15.3,1968
147,100.13,27.335,24.3,1968
148,100.139,27.342,27,1968
149,101.203,29.336,30.6,1971
150,101.221,29.197,18.9,1971
151,101.223,29.193,26.1,1971
152,101.23,29.206,35.1,1971
153,101.236,29.218,46.8,1971
154,101.237,29.205,32.4,1971
155,101.238,29.23,36.9,1971
156,101.241,29.227,51.3,1971
157,101.243,29.237,30.6,1971
158,101.245,29.207,43.2,1971
159,101.245,29.213,18.9,1971
160,101.246,29.219,28.8,1971
161,101.249,29.244,15.3,1971
162,101.252,29.241,20.7,1971
163,101.252,29.235,16.2,1971
164,101.254,29.224,32.4,1971
165,101.274,29.294,22.5,1971
166,101.277,29.327,19.8,1971
167,101.278,29.265,26.1,1971
168,101.28,29.254,27,1971
169,101.286,31.097,27.9,1971
170,101.286,31.115,40.5,1971
171,101.293,31.105,29.7,1971
172,101.294,33.293,51.3,1970
173,101.309,29.176,20.7,1971
174,101.309,31.044,27.9,1971
175,101.312,37.768,14.4,1973
176,101.312,37.687,23.4,1973
177,101.313,29.184,15.3,1971
178,101.313,29.18,15.3,1971
179,101.315,29.187,15.3,1971
180,101.316,29.172,29.7,1971
181,101.317,31.051,31.5,1971
182,101.317,37.767,8.1,1973
183,101.317,37.767,10.8,1973
184,101.318,29.206,17.1,1971
185,101.32,29.196,31.5,1971
186,101.321,37.764,12.6,1973
187,101.323,29.206,18.9,1971
188,101.325,31.057,38.7,1971
189,101.33,29.212,36,1971
190,101.33,31.07,31.5,1971
191,101.338,31.062,42.3,1971
192,101.341,29.221,26.1,1971
193,101.343,37.75,11.7,1973
194,101.345,29.21,36.9,1971
195,101.348,37.745,10.8,1973
196,101.35,37.75,15.3,1973
197,101.353,31.002,15.3,1971
198,101.367,37.733,9,1973
199,101.377,29.25,32.4,1971
200,101.377,29.246,15.3,1971
201,101.382,29.283,32.4,1971
202,101.404,37.699,16.2,1973
203,101.406,37.697,7.2,1973
204,101.408,29.29,20.7,1971
205,101.408,37.761,11.7,1973
206,101.409,37.692,10.8,1973
207,101.417,37.752,21.6,1973
208,101.419,37.687,15.3,1973
209,101.425,37.691,11.7,1973
210,101.427,37.747,22.5,1973
211,101.427,37.742,9,1973
212,101.429,37.739,10.8,1973
213,101.43,37.692,11.7,1973
214,101.437,37.737,18.9,1973
215,101.439,37.744,28.8,1973
217,101.446,37.747,15.3,1973
218,101.448,37.728,23.4,1973
219,101.451,37.741,34.2,1973
220,101.453,37.724,13.5,1973
221,101.455,37.755,7.2,1973
222,101.457,37.757,9.9,1973
223,101.459,37.735,26.1,1973
224,101.462,37.72,36,1973
225,101.466,37.756,20.7,1973
226,101.47,37.687,26.1,1973
227,101.47,37.683,12.6,1973
228,101.471,37.712,22.5,1973
229,101.471,37.729,40.5,1973
230,101.478,37.685,15.3,1973
231,101.479,37.675,29.7,1973
232,101.479,37.759,16.2,1973
233,101.484,37.705,41.4,1973
234,101.485,37.655,11.7,1973
235,101.485,37.727,44.1,1973
236,101.486,37.663,13.5,1973
237,101.489,37.659,15.3,1973
238,101.49,37.692,13.5,1973
239,101.492,37.655,11.7,1973
240,101.493,37.715,32.4,1973
241,101.493,37.635,6.3,1973
242,101.498,37.636,18,1973
243,101.5,37.691,46.8,1973
244,101.5,37.707,43.2,1973
245,101.501,37.736,18,1973
246,101.516,37.626,19.8,1973
247,101.517,37.684,43.2,1973
248,101.524,37.705,42.3,1973
249,101.527,37.7,18.9,1973
250,101.528,37.612,18,1973
251,101.528,37.686,48.6,1973
252,101.529,37.673,19.8,1973
253,101.531,37.606,17.1,1973
254,101.532,37.711,25.2,1973
255,101.533,37.72,21.6,1973
256,101.538,37.669,9,1973
257,101.538,37.705,13.5,1973
258,101.54,37.673,22.5,1973
259,101.545,37.601,22.5,1973
260,101.545,37.709,29.7,1973
261,101.545,37.715,27.9,1973
262,101.55,37.655,19.8,1973
263,101.551,37.652,13.5,1973
264,101.551,37.714,29.7,1973
265,101.554,37.71,11.7,1973
266,101.555,37.592,17.1,1973
267,101.559,37.646,7.2,1973
268,101.559,37.649,26.1,1973
269,101.56,37.569,11.7,1973
270,101.56,37.714,13.5,1973
271,101.563,37.569,14.4,1973
272,101.567,37.715,15.3,1973
273,101.571,37.715,9,1973
274,101.572,37.649,21.6,1973
275,101.576,30.964,30.6,1971
276,101.577,37.714,18,1973
277,101.58,30.973,31.5,1971
278,101.58,37.647,22.5,1973
279,101.58,37.653,17.1,1973
280,101.583,30.961,18.9,1971
281,101.584,37.642,18.9,1973
282,101.588,37.637,11.7,1973
283,101.59,37.643,10.8,1973
284,101.601,37.634,29.7,1973
285,101.61,30.896,20.7,1971
286,101.617,37.591,10.8,1973
287,101.62,30.911,26.1,1971
288,101.625,37.589,21.6,1973
289,101.63,37.612,21.6,1973
290,101.632,37.583,18.9,1973
291,101.637,37.512,12.6,1973
292,101.637,37.583,13.5,1973
293,101.637,37.501,11.7,1973
294,101.639,37.607,13.5,1973
295,101.639,37.609,9,1973
296,101.639,37.592,37.8,1973
297,101.64,37.583,8.1,1973
298,101.643,37.584,9,1973
299,101.644,37.505,11.7,1973
300,101.649,37.583,23.4,1973
301,101.649,37.596,10.8,1973
302,101.65,37.636,9.9,1973
303,101.651,37.643,16.2,1973
304,101.651,37.575,15.3,1973
305,101.654,37.601,14.4,1973
306,101.654,37.639,14.4,1973
307,101.655,37.581,20.7,1973
308,101.655,37.643,14.4,1973
309,101.656,37.603,22.5,1973
310,101.658,37.625,20.7,1973
311,101.658,37.625,13.5,1973
312,101.664,37.631,23.4,1973
313,101.668,37.598,9.9,1973
314,101.671,37.604,36.9,1973
315,101.675,37.619,23.4,1973
316,101.677,37.596,8.1,1973
317,101.677,37.626,24.3,1973
318,101.678,37.611,22.5,1973
319,101.679,37.577,13.5,1973
320,101.682,37.578,10.8,1973
321,101.686,37.569,7.2,1973
322,101.687,37.627,9.9,1973
323,101.687,37.505,26.1,1973
324,101.687,37.61,19.8,1970
325,101.689,37.571,18,1973
326,101.69,37.568,6.3,1973
327,101.691,37.613,31.5,1973
328,101.695,37.506,18.9,1973
329,101.696,37.524,18,1973
330,101.696,37.673,9,1973
331,101.696,29.307,36.9,1971
332,101.701,37.524,13.5,1973
333,101.703,29.215,27.9,1971
334,101.704,37.673,21.6,1973
335,101.705,37.511,13.5,1973
336,101.708,37.495,19.8,1973
337,101.708,29.308,32.4,1971
338,101.708,37.503,36,1973
339,101.709,30.339,27.9,1971
340,101.71,29.299,21.6,1971
341,101.712,29.218,27,1971
342,101.714,37.495,15.3,1973
343,101.714,30.326,34.2,1971
344,101.719,37.494,10.8,1973
345,101.72,37.496,23.4,1973
346,101.722,37.544,14.4,1973
347,101.724,29.262,15.3,1971
348,101.726,29.395,48.6,1971
349,101.726,29.266,15.3,1971
350,101.733,37.539,12.6,1973
351,101.733,37.496,27,1973
352,101.735,37.548,39.6,1973
353,101.737,37.575,9,1970
354,101.739,37.536,23.4,1973
355,101.741,37.568,10.8,1973
356,101.743,37.572,10.8,1970
357,101.743,37.569,6.3,1970
358,101.747,37.528,21.6,1973
359,101.748,37.542,40.5,1970
360,101.752,37.522,18.9,1973
361,101.756,37.518,27.9,1973
362,101.759,37.527,36.9,1970
363,101.759,31.105,29.7,1971
364,101.773,37.518,23.4,1973
365,101.775,37.528,52.2,1970
366,101.776,37.523,9.9,1973
367,101.782,37.523,12.6,1973
368,101.784,29.478,28.8,1971
369,101.79,37.525,29.7,1973
370,101.792,37.532,22.5,1970
371,101.795,29.461,30.6,1971
